salary,totcomp,tenure,age,sales,profits,assets
3030,8138,7,61,161315,2956,257389
6050,14530,1,51,144416,22071,237545
3571,7433,11,63,139208,4430,49271
3300,13464,6,60,100697,6370,92630
10000,68285,18,63,100469,9296,355935
9375,42381,6,57,81667,6328,86100
9525,12165,15,60,76431,5807,668641
5000,24424,5,61,57813,5372,59920
999,2916,3,57,56154,1120,36672
3300,7467,2,60,53588,6398,59550
3500,3677,16,63,50777,5165,617679
2493,6728,5,61,47678,1704,42754
1911,4727,7,58,47061,2945,33673
2130,2383,4,59,41322,1048,37675
1185,4366,1,56,37154,3780,30966
5236,20582,2,60,35853,1259,299804
1990,14906,4,60,33674,568,14166
6000,31208,32,74,33296,3765.6,194398
6229,11621,5,63,32379,3782,365875
1523,4354,3,56,31707,578,28570
2060,6854,4,52,31565.9,2965.3,55143.9
4417,18623,15,57,31260,703,29350
8888,48962,17,55,31131,3276,317590
3343,11931,5,56,30951,935,15666
1062,1821,4,57,30678,594,23638
2900,3116,2,56,30219,1614,13465
12962,18536,2,52,30147,970,26720
1800,2327,2,49,29398,962,28728
6163,10112,9,57,28777,4023,45066
1195,3327,9,59,28203.3,410.8,6700.1
2550,2557,5,58,26898.2,5248.2,31853.4
2460,4315,11,62,26801,1976,36535
2244,116840,1,59,26273,6068,31471
2344,2485,2,55,26266,1001,28700
2605,3747,1,53,25879,3294,87691
3071,12290,5,57,25715,1255,18375
3195,9865,15,55,25595,3108,261496
2523,4946,7,59,25473,2172,43615
2418,2867,4,56,24754,674,21133
1875,1875,6,49,24484.2,806.7,11389.6
533,550,11,63,24269.9,459.8,6259.8
1098,2477,2,50,23840.5,613.2,11702.8
2627,7215,11,60,23657,3059,26211
2990,3941,2,56,23123,3527,39410
5764,589101,15,57,22976,1850,41378
2000,4082,3,54,22348,1993,22660
3420,12785,15,57,21543,2891,237363
4869,15133,11,55,21437,1292,114612
973,1494,1,60,20977,1513,25128
2250,2627,2,46,20857.3,154.9,5607.5
1380,1419,1,46,20713,464.8,70906.4
1359,2538,2,62,20604.1,848.1,105148.1
